,Survived,Pclass,Sex,Age,Family
0,0,3,male,22.0,1
1,1,1,female,38.0,1
2,1,3,female,26.0,0
3,1,1,female,35.0,1
4,0,3,male,35.0,0
5,0,3,male,,0
6,0,1,male,54.0,0
7,0,3,male,2.0,4
8,1,3,female,27.0,2
9,1,2,female,14.0,1
10,1,3,female,4.0,2
11,1,1,female,58.0,0
12,0,3,male,20.0,0
13,0,3,male,39.0,6
14,0,3,female,14.0,0
15,1,2,female,55.0,0
16,0,3,male,2.0,5
17,1,2,male,,0
18,0,3,female,31.0,1
19,1,3,female,,0
20,0,2,male,35.0,0
21,1,2,male,34.0,0
22,1,3,female,15.0,0
23,1,1,male,28.0,0
24,0,3,female,8.0,4
25,1,3,female,38.0,6
26,0,3,male,,0
27,0,1,male,19.0,5
28,1,3,female,,0
29,0,3,male,,0
30,0,1,male,40.0,0
31,1,1,female,,1
32,1,3,female,,0
33,0,2,male,66.0,0
34,0,1,male,28.0,1
35,0,1,male,42.0,1
36,1,3,male,,0
37,0,3,male,21.0,0
38,0,3,female,18.0,2
39,1,3,female,14.0,1
40,0,3,female,40.0,1
41,0,2,female,27.0,1
42,0,3,male,,0
43,1,2,female,3.0,3
44,1,3,female,19.0,0
45,0,3,male,,0
46,0,3,male,,1
47,1,3,female,,0
48,0,3,male,,2
49,0,3,female,18.0,1
50,0,3,male,7.0,5
51,0,3,male,21.0,0
52,1,1,female,49.0,1
53,1,2,female,29.0,1
54,0,1,male,65.0,1
55,1,1,male,,0
56,1,2,female,21.0,0
57,0,3,male,28.5,0
58,1,2,female,5.0,3
59,0,3,male,11.0,7
60,0,3,male,22.0,0
61,1,1,female,38.0,0
62,0,1,male,45.0,1
63,0,3,male,4.0,5
64,0,1,male,,0
65,1,3,male,,2
66,1,2,female,29.0,0
67,0,3,male,19.0,0
68,1,3,female,17.0,6
69,0,3,male,26.0,2
70,0,2,male,32.0,0
71,0,3,female,16.0,7
72,0,2,male,21.0,0
73,0,3,male,26.0,1
74,1,3,male,32.0,0
75,0,3,male,25.0,0
76,0,3,male,,0
77,0,3,male,,0
78,1,2,male,0.83,2
79,1,3,female,30.0,0
80,0,3,male,22.0,0
81,1,3,male,29.0,0
82,1,3,female,,0
83,0,1,male,28.0,0
84,1,2,female,17.0,0
85,1,3,female,33.0,3
86,0,3,male,16.0,4
87,0,3,male,,0
88,1,1,female,23.0,5
89,0,3,male,24.0,0
90,0,3,male,29.0,0
91,0,3,male,20.0,0
92,0,1,male,46.0,1
93,0,3,male,26.0,3
94,0,3,male,59.0,0
95,0,3,male,,0
96,0,1,male,71.0,0
97,1,1,male,23.0,1
98,1,2,female,34.0,1
99,0,2,male,34.0,1
100,0,3,female,28.0,0
101,0,3,male,,0
102,0,1,male,21.0,1
103,0,3,male,33.0,0
104,0,3,male,37.0,2
105,0,3,male,28.0,0
106,1,3,female,21.0,0
107,1,3,male,,0
108,0,3,male,38.0,0
109,1,3,female,,1
110,0,1,male,47.0,0
111,0,3,female,14.5,1
112,0,3,male,22.0,0
113,0,3,female,20.0,1
114,0,3,female,17.0,0
115,0,3,male,21.0,0
116,0,3,male,70.5,0
117,0,2,male,29.0,1
118,0,1,male,24.0,1
119,0,3,female,2.0,6
120,0,2,male,21.0,2
121,0,3,male,,0
122,0,2,male,32.5,1
123,1,2,female,32.5,0
124,0,1,male,54.0,1
125,1,3,male,12.0,1
126,0,3,male,,0
127,1,3,male,24.0,0
128,1,3,female,,2
129,0,3,male,45.0,0
130,0,3,male,33.0,0
131,0,3,male,20.0,0
132,0,3,female,47.0,1
133,1,2,female,29.0,1
